Date,WinLoss,Open
11/17/2020,-33,
11/18/2020,-33,
11/19/2020,-33,
11/20/2020,-33,
11/21/2020,-33,
11/22/2020,-33,
11/23/2020,-33,
11/24/2020,-33,
11/25/2020,-33,
11/26/2020,-33,
11/27/2020,-33,
11/28/2020,-33,
11/29/2020,-33,
11/30/2020,-33,
12/1/2020,-33,
12/2/2020,-33,
12/3/2020,-33,
12/4/2020,-33,
12/5/2020,-33,
12/6/2020,-33,
12/7/2020,-33,
12/8/2020,-33,
12/9/2020,-33,
12/10/2020,-33,
12/11/2020,-33,
12/12/2020,-33,
12/13/2020,-35,
12/14/2020,-35,
12/15/2020,-35,
12/16/2020,-35,
12/17/2020,-36,
12/18/2020,-36,
12/19/2020,-36,
12/20/2020,-37,
12/21/2020,-37,
12/22/2020,-37,
12/23/2020,-37,
12/24/2020,-37,
12/25/2020,-37,
12/26/2020,-37,
12/27/2020,-39,
12/28/2020,-39,
12/29/2020,-39,
12/30/2020,-39,
12/31/2020,-39,
1/1/2021,-39,
1/2/2021,-39,
1/3/2021,-37,
1/4/2021,-37,
1/5/2021,-37,
1/6/2021,-37,
1/7/2021,-37,
1/8/2021,-37,
1/9/2021,-37,
1/10/2021,-39,
1/11/2021,-39,
1/12/2021,-39,
1/13/2021,-39,
1/14/2021,-39,
1/15/2021,-39,
1/16/2021,-39,
1/17/2021,-40,
1/18/2021,-39,
1/19/2021,-41,
1/20/2021,-40,
1/21/2021,-39,
1/22/2021,-38,
1/23/2021,-38,
1/24/2021,-42,
1/25/2021,-41,
1/26/2021,-42,
1/27/2021,-43,
1/28/2021,-42,
1/29/2021,-41,
1/30/2021,-42,
1/31/2021,-41,
2/1/2021,-42,
2/2/2021,-42,
2/3/2021,-42,
2/4/2021,-42,
2/5/2021,-40,
2/6/2021,-39,
2/7/2021,-38,
2/8/2021,-38,
2/9/2021,-38,
2/10/2021,-39,
2/11/2021,-40,
2/12/2021,-41,
2/13/2021,-40,
2/14/2021,-40,
2/15/2021,-38,
2/16/2021,-39,
2/17/2021,-39,
2/18/2021,-39,
2/19/2021,-38,
2/20/2021,-37,
2/21/2021,-39,
2/22/2021,-38,
2/23/2021,-37,
2/24/2021,-37,
2/25/2021,-36,
2/26/2021,-36,
2/27/2021,-37,
2/28/2021,-35,
3/1/2021,-35,
3/2/2021,-33,
3/3/2021,-33,
3/4/2021,-32,
3/5/2021,-31,
3/6/2021,-31,
3/7/2021,-33,
3/8/2021,-33,
3/9/2021,-31,
3/10/2021,-33,
3/11/2021,-33,
3/12/2021,-33,
3/13/2021,-31,
3/14/2021,-32,
3/15/2021,-33,
3/16/2021,-34,
3/17/2021,-33,
3/18/2021,-32,
3/19/2021,-33,
3/20/2021,-33,
3/21/2021,-35,
3/22/2021,-33,
3/23/2021,-32,
3/24/2021,-32,
3/25/2021,-31,
3/26/2021,-31,
3/27/2021,-31,
3/28/2021,-32,
3/29/2021,-32,
3/30/2021,-30,
3/31/2021,-29,
4/1/2021,-29,
4/2/2021,-30,
4/3/2021,-30,
4/4/2021,-34,
4/5/2021,-35,
4/6/2021,-30,
4/7/2021,-31,
4/8/2021,-29,
4/9/2021,-31,
4/10/2021,-34,
4/11/2021,-33,
4/12/2021,-32,
4/13/2021,-31,
4/14/2021,-29,
4/15/2021,-30,
4/16/2021,-32,
4/17/2021,-29,
4/18/2021,-27,
4/19/2021,-29,
4/20/2021,-30,
4/21/2021,-31,
4/22/2021,-34,
4/23/2021,-30,
4/24/2021,-31,
4/25/2021,-30,
4/26/2021,-32,
4/27/2021,-33,
4/28/2021,-35,
4/29/2021,-36,
4/30/2021,-37,
5/1/2021,-36,
5/2/2021,-34,
5/3/2021,-36,
5/4/2021,-37,
5/5/2021,-38,
5/6/2021,-40,
5/7/2021,-41,
5/8/2021,-38,
5/9/2021,-37,
5/10/2021,-39,
5/11/2021,-39,
5/12/2021,-37,
5/13/2021,-38,
5/14/2021,-38,
5/15/2021,-40,
5/16/2021,-41,
5/17/2021,-41,
5/18/2021,-40,
5/19/2021,-40,
5/20/2021,-41,
5/21/2021,-39,
5/22/2021,-38,
5/23/2021,-38,
5/24/2021,-38,
5/25/2021,-38,
5/26/2021,-37,
5/27/2021,-36,
5/28/2021,-38,
5/29/2021,-38,
5/30/2021,-40,
5/31/2021,-40,
6/1/2021,-41,
6/2/2021,-40,
6/3/2021,-44,
6/4/2021,-47,
6/5/2021,-46,
6/6/2021,-46,
6/7/2021,-44,
6/8/2021,-43,
6/9/2021,-39,
6/10/2021,-39,
6/11/2021,-39,
6/12/2021,-39,
6/13/2021,-40,
6/14/2021,-39,
6/15/2021,-37,
6/16/2021,-35,
6/17/2021,-36,
6/18/2021,-36,
6/19/2021,-35,
