Date,WinLoss,Open
1/10/2021,8,
1/11/2021,10,
1/12/2021,10,
1/13/2021,10,
1/14/2021,10,
1/15/2021,10,
1/16/2021,10,
1/17/2021,9,
1/18/2021,11,
1/19/2021,8,
1/20/2021,11,
1/21/2021,11,
1/22/2021,11,
1/23/2021,10,
1/24/2021,6,
1/25/2021,11,
1/26/2021,9,
1/27/2021,9,
1/28/2021,11,
1/29/2021,11,
1/30/2021,9,
1/31/2021,11,
2/1/2021,9,
2/2/2021,10,
2/3/2021,10,
2/4/2021,10,
2/5/2021,12,
2/6/2021,11,
2/7/2021,11,
2/8/2021,10,
2/9/2021,10,
2/10/2021,9,
2/11/2021,9,
2/12/2021,9,
2/13/2021,11,
2/14/2021,10,
2/15/2021,12,
2/16/2021,9,
2/17/2021,10,
2/18/2021,10,
2/19/2021,11,
2/20/2021,11,
2/21/2021,8,
2/22/2021,11,
2/23/2021,11,
2/24/2021,10,
2/25/2021,11,
2/26/2021,10,
2/27/2021,9,
2/28/2021,12,
3/1/2021,10,
3/2/2021,12,
3/3/2021,10,
3/4/2021,11,
3/5/2021,11,
3/6/2021,10,
3/7/2021,8,
3/8/2021,10,
3/9/2021,12,
3/10/2021,8,
3/11/2021,10,
3/12/2021,10,
3/13/2021,12,
3/14/2021,9,
3/15/2021,9,
3/16/2021,9,
3/17/2021,11,
3/18/2021,11,
3/19/2021,9,
3/20/2021,10,
3/21/2021,8,
3/22/2021,12,
3/23/2021,11,
3/24/2021,10,
3/25/2021,11,
3/26/2021,10,
3/27/2021,10,
3/28/2021,9,
3/29/2021,10,
3/30/2021,12,
3/31/2021,11,
4/1/2021,10,
4/2/2021,9,
4/3/2021,10,
4/4/2021,6,
4/5/2021,9,
4/6/2021,15,
4/7/2021,9,
4/8/2021,12,
4/9/2021,8,
4/10/2021,7,
4/11/2021,11,
4/12/2021,11,
4/13/2021,11,
4/14/2021,12,
4/15/2021,9,
4/16/2021,8,
4/17/2021,13,
4/18/2021,12,
4/19/2021,8,
4/20/2021,9,
4/21/2021,9,
4/22/2021,7,
4/23/2021,14,
4/24/2021,9,
4/25/2021,11,
4/26/2021,8,
4/27/2021,9,
4/28/2021,8,
4/29/2021,9,
4/30/2021,9,
5/1/2021,11,
5/2/2021,12,
5/3/2021,8,
5/4/2021,9,
5/5/2021,9,
5/6/2021,8,
5/7/2021,9,
5/8/2021,13,
5/9/2021,11,
5/10/2021,8,
5/11/2021,10,
5/12/2021,12,
5/13/2021,9,
5/14/2021,10,
5/15/2021,8,
5/16/2021,9,
5/17/2021,10,
5/18/2021,11,
5/19/2021,10,
5/20/2021,9,
5/21/2021,12,
5/22/2021,11,
5/23/2021,10,
5/24/2021,10,
5/25/2021,10,
5/26/2021,11,
5/27/2021,11,
5/28/2021,8,
5/29/2021,10,
5/30/2021,8,
5/31/2021,10,
6/1/2021,9,
6/2/2021,11,
6/3/2021,6,
6/4/2021,7,
6/5/2021,11,
6/6/2021,10,
6/7/2021,12,
6/8/2021,11,
6/9/2021,14,
6/10/2021,10,
6/11/2021,10,
6/12/2021,10,
6/13/2021,9,
6/14/2021,11,
6/15/2021,12,
6/16/2021,12,
6/17/2021,9,
6/18/2021,10,
6/19/2021,11,
6/20/2021,9,
6/21/2021,11,
6/22/2021,7,
6/23/2021,13,
6/24/2021,11,
6/25/2021,10,
6/26/2021,11,
6/27/2021,8,
6/28/2021,9,
6/29/2021,13,
6/30/2021,7,
7/1/2021,8,
7/2/2021,10,
7/3/2021,8,
7/4/2021,11,
7/5/2021,11,
7/6/2021,12,
7/7/2021,10,
7/8/2021,9,
7/9/2021,14,
7/10/2021,12,
7/11/2021,10,
7/12/2021,10,
7/13/2021,11,
7/14/2021,10,
7/15/2021,10,
7/16/2021,8,
7/17/2021,10,
7/18/2021,11,
7/19/2021,11,
7/20/2021,10,
7/21/2021,11,
7/22/2021,9,
7/23/2021,10,
7/24/2021,9,
7/25/2021,10,
7/26/2021,8,
7/27/2021,10,
7/28/2021,12,
7/29/2021,8,
7/30/2021,10,
7/31/2021,12,
8/1/2021,10,
8/2/2021,8,
8/3/2021,10,
8/4/2021,12,
8/5/2021,10,
8/6/2021,10,
8/7/2021,10,
8/8/2021,8,
8/9/2021,11,
8/10/2021,10,
8/11/2021,11,
8/12/2021,10,
8/13/2021,9,
8/14/2021,10,
8/15/2021,10,
8/16/2021,10,
8/17/2021,10,
8/18/2021,12,
8/19/2021,10,
8/20/2021,10,
8/21/2021,10,
8/22/2021,11,
8/23/2021,11,
8/24/2021,10,
8/25/2021,9,
8/26/2021,10,
8/27/2021,10,
8/28/2021,10,
8/29/2021,10,
8/30/2021,9,
8/31/2021,10,
9/1/2021,11,
9/2/2021,11,
9/3/2021,12,
9/4/2021,8,
9/5/2021,10,
9/6/2021,8,
9/7/2021,10,
9/8/2021,8,
9/9/2021,8,
9/10/2021,10,
9/11/2021,10,
9/12/2021,10,
9/13/2021,10,
9/14/2021,10,
9/15/2021,10,
9/16/2021,9,
9/17/2021,10,
9/18/2021,8,
9/19/2021,10,
9/20/2021,11,
9/21/2021,10,
9/22/2021,10,
9/23/2021,10,
9/24/2021,10,
9/25/2021,10,
9/26/2021,10,
9/27/2021,10,
9/28/2021,12,
9/29/2021,8,
9/30/2021,12,
10/1/2021,10,
10/2/2021,8,
10/3/2021,10,
10/4/2021,10,
10/5/2021,9,
10/6/2021,10,
10/7/2021,10,
10/8/2021,10,
10/9/2021,10,
10/10/2021,10,
10/11/2021,10,
10/12/2021,10,
10/13/2021,9,
10/14/2021,8,
10/15/2021,10,
10/16/2021,10,
10/17/2021,10,
10/18/2021,11,
10/19/2021,11,
10/20/2021,10,
10/21/2021,10,
10/22/2021,10,
10/23/2021,12,
